,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
16,Kiowa,593.0,381.0,123.0,66.0,0.0,0.0,16.0,0.0,4.0,3.0,8.0,61.0,2018,1449.0,8061.0,Eads,"1,398","4,578.50","1,767.77",47.033,18.16,"4,625.53","1,785.93",38.388466,-102.75621,71.1910256410256,38.9717948717949,54.4692307692308,51.2314102564103,3.36544871794872,19.1051282051282,207.478205128205,16.9564102564103,6.91025641025641
17,Kiowa,638.0,402.0,134.0,67.0,0.0,0.0,15.0,0.0,17.0,3.0,8.0,61.0,2019,1489.0,8061.0,Eads,"1,398","4,578.50","1,767.77",47.033,18.16,"4,625.53","1,785.93",38.388466,-102.75621,71.1910256410256,38.9717948717949,54.4692307692308,51.2314102564103,3.36544871794872,19.1051282051282,207.478205128205,16.9564102564103,6.91025641025641
18,Kiowa,615.0,365.0,142.0,80.0,0.0,0.0,12.0,0.0,14.0,2.0,8.0,61.0,2020,1463.0,8061.0,Eads,"1,398","4,578.50","1,767.77",47.033,18.16,"4,625.53","1,785.93",38.388466,-102.75621,71.1910256410256,38.9717948717949,54.4692307692308,51.2314102564103,3.36544871794872,19.1051282051282,207.478205128205,16.9564102564103,6.91025641025641
19,Kiowa,646.0,398.0,130.0,85.0,0.0,0.0,11.5,0.0,20.5,2.0,,,2021,,,,,,,,,,,,,,,,,,,,,
20,Huerfano,3173.0,1015.0,1000.0,526.0,0.0,23.0,547.0,31.0,25.0,6.0,8.0,55.0,2017,6498.0,8055.0,Walsenburg,"6,711","4,120.67","1,591.00",5.792,2.236,"4,126.47","1,593.24",37.687815,-104.959928,61.3769230769231,35.8653846153846,47.0288461538462,47.9544871794872,6.30378205128205,22.9294871794872,261.196794871795,16.1467948717949,7.28846153846154
21,Huerfano,3282.0,1165.0,1045.0,500.0,0.0,0.0,523.0,23.0,21.0,5.0,8.0,55.0,2018,6583.0,8055.0,Walsenburg,"6,711","4,120.67","1,591.00",5.792,2.236,"4,126.47","1,593.24",37.687815,-104.959928,61.3769230769231,35.8653846153846,47.0288461538462,47.9544871794872,6.30378205128205,22.9294871794872,261.196794871795,16.1467948717949,7.28846153846154
22,Huerfano,3225.0,1223.0,1048.0,413.0,0.0,0.0,493.0,19.0,24.0,5.0,8.0,55.0,2019,6679.0,8055.0,Walsenburg,"6,711","4,120.67","1,591.00",5.792,2.236,"4,126.47","1,593.24",37.687815,-104.959928,61.3769230769231,35.8653846153846,47.0288461538462,47.9544871794872,6.30378205128205,22.9294871794872,261.196794871795,16.1467948717949,7.28846153846154
23,Huerfano,3057.0,1200.0,1049.0,341.0,0.0,0.0,439.0,11.0,17.0,0.0,8.0,55.0,2020,6769.0,8055.0,Walsenburg,"6,711","4,120.67","1,591.00",5.792,2.236,"4,126.47","1,593.24",37.687815,-104.959928,61.3769230769231,35.8653846153846,47.0288461538462,47.9544871794872,6.30378205128205,22.9294871794872,261.196794871795,16.1467948717949,7.28846153846154
24,Huerfano,3083.0,1304.0,1073.0,284.5,0.0,0.0,412.0,5.0,16.5,0.0,,,2021,,,,,,,,,,,,,,,,,,,,,
25,Baca,1603.0,1033.0,346.0,180.0,0.0,0.0,17.0,5.0,18.0,4.0,8.0,9.0,2017,3581.0,8009.0,Springfield,"3,788","6,617.33","2,554.97",6.142,2.372,"6,623.48","2,557.34",37.303144,-102.535457,70.8089743589744,40.6121794871795,55.1923076923077,50.4153846153846,2.96467948717949,18.8403846153846,295.008333333333,17.8121794871795,7.26282051282051
26,Baca,1642.0,1114.0,335.0,155.0,0.0,0.0,16.0,5.0,17.0,0.0,8.0,9.0,2018,3563.0,8009.0,Springfield,"3,788","6,617.33","2,554.97",6.142,2.372,"6,623.48","2,557.34",37.303144,-102.535457,70.8089743589744,40.6121794871795,55.1923076923077,50.4153846153846,2.96467948717949,18.8403846153846,295.008333333333,17.8121794871795,7.26282051282051
27,Baca,1662.0,1084.0,381.0,169.0,0.0,0.0,9.0,6.0,13.0,0.0,8.0,9.0,2019,3561.0,8009.0,Springfield,"3,788","6,617.33","2,554.97",6.142,2.372,"6,623.48","2,557.34",37.303144,-102.535457,70.8089743589744,40.6121794871795,55.1923076923077,50.4153846153846,2.96467948717949,18.8403846153846,295.008333333333,17.8121794871795,7.26282051282051
