Name,Census_Population
"Phillips County, Colorado",4327
"Archuleta County, Colorado",12592
"Denver County, Colorado",678467
"Kiowa County, Colorado",1368
"Huerfano County, Colorado",6498
"Baca County, Colorado",3581
"Chaffee County, Colorado",18818
"Gilpin County, Colorado",5793
"Kit Carson County, Colorado",7846
"Garfield County, Colorado",57945
"Gunnison County, Colorado",16215
"Jefferson County, Colorado",564029
"Mineral County, Colorado",834
"Ouray County, Colorado",4653
"Rio Blanco County, Colorado",6557
"Sedgwick County, Colorado",2357
"Weld County, Colorado",285729
"Conejos County, Colorado",8147
"Custer County, Colorado",4505
"Costilla County, Colorado",3628
"Adams County, Colorado",487850
"Douglas County, Colorado",320940
"Eagle County, Colorado",53726
"Lake County, Colorado",7481
"La Plata County, Colorado",54469
"Moffat County, Colorado",13056
"Pitkin County, Colorado",17747
"Rio Grande County, Colorado",11430
"Cheyenne County, Colorado",2127
"Bent County, Colorado",5806
"Crowley County, Colorado",5514
"Dolores County, Colorado",1736
"San Juan County, Colorado",569
"Jackson County, Colorado",1372
"Larimer County, Colorado",330976
"Logan County, Colorado",21885
"Montezuma County, Colorado",25770
"San Miguel County, Colorado",7804
"Teller County, Colorado",23769
"Boulder County, Colorado",316782
"Elbert County, Colorado",24553
"Las Animas County, Colorado",14151
"Yuma County, Colorado",10109
"Lincoln County, Colorado",5520
"Routt County, Colorado",24359
"Summit County, Colorado",29722
"Alamosa County, Colorado",16345
"Clear Creek County, Colorado",9257
"Delta County, Colorado",30217
"Fremont County, Colorado",46601
"Pueblo County, Colorado",163368
"Montrose County, Colorado",40908
"Morgan County, Colorado",28123
"Park County, Colorado",16900
"Saguache County, Colorado",6338
"Mesa County, Colorado",148798
"Prowers County, Colorado",12084
"Hinsdale County, Colorado",820
"El Paso County, Colorado",674826
"Washington County, Colorado",4809
"Grand County, Colorado",14793
"Arapahoe County, Colorado",626612
"Otero County, Colorado",18325
"Broomfield County, Colorado",64283
