Name,Estimate!!Total,State,County,State
"Phillips County, Colorado",4318,08,095
"Archuleta County, Colorado",12908,08,007
"Denver County, Colorado",693417,08,031
"Kiowa County, Colorado",1449,08,061
"Huerfano County, Colorado",6583,08,055
"Baca County, Colorado",3563,08,009
"Gilpin County, Colorado",5924,08,047
"Kit Carson County, Colorado",7635,08,063
"Gunnison County, Colorado",16537,08,051
"Mineral County, Colorado",823,08,079
"Ouray County, Colorado",4722,08,091
"Sedgwick County, Colorado",2350,08,115
"Weld County, Colorado",295123,08,123
"Custer County, Colorado",4640,08,027
"Costilla County, Colorado",3687,08,023
"Douglas County, Colorado",328614,08,035
"Lake County, Colorado",7585,08,065
"La Plata County, Colorado",55101,08,067
"Pitkin County, Colorado",17909,08,097
"Rio Grande County, Colorado",11351,08,105
"Bent County, Colorado",5809,08,011
"Crowley County, Colorado",5630,08,025
"San Juan County, Colorado",544,08,111
"Larimer County, Colorado",338161,08,069
"Logan County, Colorado",21689,08,075
"San Miguel County, Colorado",7968,08,113
"Teller County, Colorado",24113,08,119
"Elbert County, Colorado",25162,08,039
"Las Animas County, Colorado",14179,08,071
"Lincoln County, Colorado",5548,08,073
"Summit County, Colorado",30429,08,117
"Alamosa County, Colorado",16444,08,003
"Delta County, Colorado",30346,08,029
"Fremont County, Colorado",47002,08,043
"Chaffee County, Colorado",19164,08,015
"Garfield County, Colorado",58538,08,045
"Jefferson County, Colorado",570427,08,059
"Rio Blanco County, Colorado",6465,08,103
"Conejos County, Colorado",8142,08,021
"Adams County, Colorado",497115,08,001
"Eagle County, Colorado",54357,08,037
"Moffat County, Colorado",13060,08,081
"Cheyenne County, Colorado",2039,08,017
"Dolores County, Colorado",1841,08,033
"Jackson County, Colorado",1296,08,057
"Montezuma County, Colorado",25909,08,083
"Boulder County, Colorado",321030,08,013
"Yuma County, Colorado",10069,08,125
"Routt County, Colorado",24874,08,107
"Clear Creek County, Colorado",9379,08,019
"Pueblo County, Colorado",164685,08,101
"Park County, Colorado",17392,08,093
"Mesa County, Colorado",149998,08,077
"El Paso County, Colorado",688153,08,041
"Arapahoe County, Colorado",636671,08,005
"Montrose County, Colorado",41268,08,085
"Morgan County, Colorado",28257,08,087
"Saguache County, Colorado",6468,08,109
"Prowers County, Colorado",12052,08,099
"Hinsdale County, Colorado",878,08,053
"Washington County, Colorado",4840,08,121
"Grand County, Colorado",15066,08,049
"Otero County, Colorado",18325,08,089
"Broomfield County, Colorado",66120,08,014
