datetime,tempmax,tempmin,temp,humidity,precipcover,preciptype,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,County
2021-04-05,78.7,45.9,62.1,23.5,0.0,,59.6,313.1,15.8,8.0,06:34:24,19:26:02,Adams
2021-04-05,70.1,23.4,47.8,31.2,0.0,,0.0,303.4,16.2,8.0,06:42:02,19:29:59,Alamosa
2021-04-05,78.2,46.2,61.8,23.4,0.0,,60.0,199.6,9.9,4.0,06:34:36,19:25:50,Arapahoe
2021-04-05,65.0,31.5,48.3,33.8,0.0,,1.3,203.4,17.6,7.0,06:47:22,19:34:45,Archuleta
2021-04-05,88.1,46.8,69.2,32.4,0.0,,0.0,466.5,23.5,9.0,06:29:15,19:16:46,Baca
2021-04-05,86.5,45.6,66.7,25.1,0.0,,0.0,355.0,19.2,8.0,06:30:56,19:19:26,Bent
2021-04-05,71.7,40.1,56.7,28.7,0.0,,0.0,256.4,21.9,9.0,06:38:29,19:30:29,Boulder
2021-04-05,79.9,46.7,63.8,22.1,0.0,,0.0,206.5,17.5,9.0,06:37:13,19:28:59,Broomfield
2021-04-05,57.2,42.0,49.6,15.6,0.0,,0.0,327.7,27.2,10.0,06:43:15,19:33:02,Chaffee
2021-04-05,89.1,43.1,65.9,31.7,0.0,,0.2,261.6,22.6,9.0,06:28:20,19:18:16,Cheyenne
2021-04-05,42.3,31.9,36.0,54.7,0.0,,6.5,287.3,25.2,8.0,06:39:54,19:31:14,Clear Creek
2021-04-05,63.3,27.0,45.5,29.0,0.0,,5.3,476.1,24.0,10.0,06:43:52,19:31:16,Conejos
2021-04-05,61.7,28.0,45.8,29.3,0.0,,0.0,467.0,25.1,10.0,06:40:50,19:28:19,Costilla
2021-04-05,86.1,44.4,66.1,22.1,0.0,,0.0,316.6,20.5,9.0,06:33:28,19:22:35,Crowley
2021-04-05,69.8,36.0,53.1,26.0,0.0,,0.0,345.9,17.4,6.0,06:39:58,19:28:45,Custer
2021-04-05,78.3,46.2,60.8,17.1,0.0,,0.0,409.4,20.5,9.0,06:49:20,19:39:20,Delta
2021-04-05,77.6,46.6,61.4,23.7,0.0,,60.7,250.0,12.7,6.0,06:36:41,19:28:08,Denver
2021-04-05,67.2,37.2,52.9,25.2,0.0,,0.0,284.0,23.5,10.0,06:52:52,19:41:06,Dolores
2021-04-05,72.8,42.3,57.7,26.1,0.0,,33.4,280.3,15.1,8.0,06:37:13,19:27:57,Douglas
2021-04-05,67.3,31.4,49.5,32.0,0.0,,0.7,407.8,23.6,9.0,06:44:02,19:35:17,Eagle
2021-04-05,74.0,37.9,57.6,27.9,0.0,,5.1,341.8,17.3,7.0,06:34:00,19:24:42,Elbert
2021-04-05,76.5,41.6,60.2,23.9,0.0,,43.8,299.4,15.1,8.0,06:36:02,19:25:57,El Paso
2021-04-05,75.2,44.4,60.0,20.7,0.0,,26.7,396.6,20.0,8.0,06:39:54,19:29:14,Fremont
2021-04-05,76.2,36.9,56.7,27.3,0.0,,0.0,355.7,22.9,10.0,06:48:56,19:40:07,Garfield
2021-04-05,53.0,34.2,43.2,42.2,0.0,,3.4,338.5,29.4,8.0,06:39:12,19:30:49,Gilpin
2021-04-05,63.4,24.3,43.8,49.4,0.0,,0.9,266.9,23.1,9.0,06:41:15,19:33:18,Grand
2021-04-05,65.0,26.4,46.1,39.9,0.0,,0.0,468.5,25.2,10.0,06:46:21,19:36:02,Gunnison
2021-04-05,55.1,36.6,46.0,25.3,0.0,,6.1,421.9,21.0,9.0,06:48:14,19:36:34,Hinsdale
2021-04-05,73.1,46.0,59.6,21.1,0.0,,0.0,419.1,21.1,10.0,06:38:38,19:26:46,Huerfano
2021-04-05,62.7,25.4,45.1,36.7,0.0,,6.1,399.9,24.3,9.0,06:41:44,19:34:42,Jackson
2021-04-05,77.4,49.4,61.9,21.7,0.0,,46.6,262.6,13.1,6.0,06:38:18,19:29:27,Jefferson
2021-04-05,87.0,44.9,66.6,26.8,0.0,,0.0,261.6,22.6,9.0,06:29:18,19:18:30,Kiowa
2021-04-05,88.5,43.1,66.0,31.9,0.0,,0.0,254.4,17.5,7.0,06:27:58,19:18:38,Kit Carson
2021-04-05,54.0,24.4,38.6,37.0,0.0,,0.1,199.3,17.2,8.0,06:43:01,19:33:33,Lake
2021-04-05,70.8,30.4,52.3,26.9,0.0,,0.0,264.2,23.0,9.0,06:50:27,19:37:59,La Plata
2021-04-05,77.4,38.2,58.7,33.6,0.0,,0.0,482.1,26.1,10.0,06:38:21,19:31:19,Larimer
