datetime,tempmax,tempmin,temp,humidity,precipcover,preciptype,cloudcover,solarradiation,solarenergy,uvindex,sunrise,sunset,County
2020-10-05,81.3,54.6,65.4,20.6,0.0,,17.1,346.6,16.1,7.0,06:58:03,18:32:24,Adams
2020-10-05,74.9,27.0,52.0,36.6,0.0,,0.0,403.3,18.8,7.0,07:02:41,18:39:28,Alamosa
2020-10-05,80.9,54.3,65.1,20.7,0.0,,18.0,296.9,13.9,6.0,06:57:56,18:32:32,Arapahoe
2020-10-05,74.6,34.5,54.4,28.4,0.0,,0.0,164.0,14.4,2.0,07:07:33,18:44:42,Archuleta
2020-10-05,88.1,48.0,68.0,28.4,0.0,,0.0,429.8,20.1,8.0,06:49:32,18:26:36,Baca
2020-10-05,90.7,44.7,65.6,27.7,0.0,,0.0,218.9,18.8,8.0,06:52:01,18:28:27,Bent
2020-10-05,84.4,45.0,59.4,31.3,0.0,,1.3,187.3,16.1,7.0,07:02:26,18:36:32,Boulder
2020-10-05,83.8,53.8,65.4,24.9,0.0,,2.9,160.1,13.4,6.0,07:00:58,18:35:14,Broomfield
2020-10-05,64.6,49.2,55.7,10.9,0.0,,0.0,289.4,19.8,9.0,07:05:24,18:40:57,Chaffee
2020-10-05,87.2,47.9,66.1,27.4,0.0,,0.0,210.7,18.1,7.0,06:50:35,18:26:04,Cheyenne
2020-10-05,46.6,33.3,38.5,45.4,0.0,,0.0,295.9,25.4,8.0,07:03:19,18:37:51,Clear Creek
2020-10-05,72.0,30.1,51.5,32.7,0.0,,0.0,425.3,19.8,8.0,07:04:03,18:41:12,Conejos
2020-10-05,74.9,26.1,51.8,37.6,0.0,,0.0,204.9,17.5,9.0,07:01:06,18:38:11,Costilla
2020-10-05,88.6,47.3,66.0,23.9,0.0,,0.0,253.7,17.3,7.0,06:55:03,18:31:04,Crowley
2020-10-05,82.5,41.3,62.2,24.0,0.0,,0.0,345.2,16.0,7.0,07:01:17,18:37:32,Custer
2020-10-05,82.3,44.0,60.8,22.6,0.0,,0.0,240.3,19.0,8.0,07:11:39,18:47:04,Delta
2020-10-05,81.3,53.0,64.8,20.8,0.0,,18.7,294.7,13.8,6.0,07:00:11,18:34:39,Denver
2020-10-05,74.5,41.3,56.3,26.6,0.0,,0.0,284.0,20.6,8.0,07:13:45,18:50:20,Dolores
2020-10-05,78.2,49.5,62.6,21.0,0.0,,12.6,350.2,17.6,7.0,07:00:08,18:35:05,Douglas
2020-10-05,75.1,34.3,52.6,25.8,0.0,,0.0,327.6,18.8,8.0,07:07:22,18:41:58,Eagle
2020-10-05,79.4,42.3,60.5,24.0,0.0,,3.8,379.8,17.7,7.0,06:56:54,18:31:51,Elbert
2020-10-05,81.6,48.3,65.7,18.0,0.0,,7.4,306.1,14.3,7.0,06:58:17,18:33:45,El Paso
2020-10-05,79.1,51.3,64.6,16.8,0.0,,3.9,412.7,19.3,8.0,07:01:40,18:37:32,Fremont
2020-10-05,79.5,37.4,56.7,26.0,0.0,,0.0,201.8,17.5,8.0,07:12:13,18:46:51,Garfield
2020-10-05,65.9,37.8,46.9,34.7,0.0,,2.0,262.1,22.3,8.0,07:02:50,18:37:11,Gilpin
2020-10-05,65.9,28.4,46.1,36.6,0.0,,0.0,184.2,15.7,6.0,07:05:15,18:39:19,Grand
2020-10-05,71.9,27.9,48.9,36.8,0.0,,0.0,394.2,21.4,8.0,07:08:24,18:44:02,Gunnison
2020-10-05,68.0,39.0,52.6,24.7,0.0,,0.0,355.8,16.8,7.0,07:09:11,18:45:43,Hinsdale
2020-10-05,86.5,47.6,66.1,22.6,0.0,,0.0,394.7,18.4,8.0,06:59:25,18:36:06,Huerfano
2020-10-05,69.9,34.4,51.1,23.1,0.0,,0.0,228.9,17.4,7.0,07:06:28,18:39:56,Jackson
2020-10-05,81.2,52.5,64.6,21.6,0.0,,17.3,271.8,12.5,6.0,07:01:33,18:36:13,Jefferson
2020-10-05,91.1,41.7,65.1,29.5,0.0,,0.0,210.7,18.1,7.0,06:50:58,18:26:55,Kiowa
2020-10-05,87.4,48.3,66.2,27.7,0.0,,0.4,227.0,17.1,7.0,06:50:50,18:25:48,Kit Carson
2020-10-05,62.1,32.2,47.0,22.8,0.0,,0.0,190.9,16.3,7.0,07:05:46,18:40:50,Lake
2020-10-05,81.1,33.8,57.0,26.5,0.0,,0.0,228.8,19.6,8.0,07:10:45,18:47:49,La Plata
2020-10-05,80.6,45.1,61.7,32.6,0.0,,9.3,342.1,17.4,7.0,07:03:05,18:36:33,Larimer
2020-10-05,85.7,47.5,64.9,23.4,0.0,,0.0,399.4,20.0,8.0,06:55:34,18:32:38,Las Animas
2020-10-05,81.9,39.6,61.0,25.1,0.0,,5.4,367.5,17.2,7.0,06:54:17,18:29:35,Lincoln
2020-10-05,81.8,40.9,61.2,36.4,0.0,,11.6,192.7,16.6,7.0,06:53:33,18:26:58,Logan
2020-10-05,82.2,45.8,62.5,20.4,0.0,,0.0,389.9,18.3,7.0,07:14:08,18:49:22,Mesa
2020-10-05,64.7,36.9,50.0,25.2,0.0,,0.0,237.3,20.6,8.0,07:07:18,18:44:00,Mineral
2020-10-05,75.8,30.9,51.6,30.9,0.0,,0.0,389.4,18.3,7.0,07:13:56,18:47:29,Moffat
2020-10-05,80.2,36.6,56.5,32.0,0.0,,0.0,388.1,20.9,8.0,07:13:48,18:50:48,Montezuma
2020-10-05,78.0,42.2,58.8,25.8,0.0,,0.0,263.7,19.8,8.0,07:13:01,18:48:54,Montrose
2020-10-05,83.3,44.4,61.6,27.2,0.0,,6.3,269.9,12.7,5.0,06:56:09,18:30:05,Morgan
2020-10-05,87.3,45.0,64.6,27.2,0.0,,0.0,197.1,16.9,7.0,06:54:34,18:31:02,Otero
2020-10-05,70.2,42.2,55.3,24.8,0.0,,0.0,376.1,19.1,8.0,07:10:54,18:47:04,Ouray
2020-10-05,57.5,40.4,47.3,17.9,0.0,,0.0,194.1,16.8,7.0,07:03:12,18:38:21,Park
2020-10-05,86.1,46.5,65.6,30.9,0.0,,9.4,342.5,15.9,7.0,06:50:29,18:24:03,Phillips
2020-10-05,71.9,36.0,52.3,25.9,0.0,,0.0,293.3,17.9,7.0,07:08:03,18:43:05,Pitkin
2020-10-05,90.4,42.4,65.0,31.1,0.0,,0.0,193.7,16.2,7.0,06:49:17,18:25:41,Prowers
