Name,Estimate!!Total,State,County,State
"Phillips County, Colorado",4327,08,095
"Archuleta County, Colorado",12592,08,007
"Denver County, Colorado",678467,08,031
"Kiowa County, Colorado",1368,08,061
"Huerfano County, Colorado",6498,08,055
"Baca County, Colorado",3581,08,009
"Chaffee County, Colorado",18818,08,015
"Gilpin County, Colorado",5793,08,047
"Kit Carson County, Colorado",7846,08,063
"Garfield County, Colorado",57945,08,045
"Gunnison County, Colorado",16215,08,051
"Jefferson County, Colorado",564029,08,059
"Mineral County, Colorado",834,08,079
"Ouray County, Colorado",4653,08,091
"Rio Blanco County, Colorado",6557,08,103
"Sedgwick County, Colorado",2357,08,115
"Weld County, Colorado",285729,08,123
"Conejos County, Colorado",8147,08,021
"Custer County, Colorado",4505,08,027
"Costilla County, Colorado",3628,08,023
"Adams County, Colorado",487850,08,001
"Douglas County, Colorado",320940,08,035
"Eagle County, Colorado",53726,08,037
"Lake County, Colorado",7481,08,065
"La Plata County, Colorado",54469,08,067
"Moffat County, Colorado",13056,08,081
"Pitkin County, Colorado",17747,08,097
"Rio Grande County, Colorado",11430,08,105
"Cheyenne County, Colorado",2127,08,017
"Bent County, Colorado",5806,08,011
"Crowley County, Colorado",5514,08,025
"Dolores County, Colorado",1736,08,033
"San Juan County, Colorado",569,08,111
"Jackson County, Colorado",1372,08,057
"Larimer County, Colorado",330976,08,069
"Logan County, Colorado",21885,08,075
"Montezuma County, Colorado",25770,08,083
"San Miguel County, Colorado",7804,08,113
"Teller County, Colorado",23769,08,119
"Boulder County, Colorado",316782,08,013
"Elbert County, Colorado",24553,08,039
"Las Animas County, Colorado",14151,08,071
"Yuma County, Colorado",10109,08,125
"Lincoln County, Colorado",5520,08,073
"Routt County, Colorado",24359,08,107
"Summit County, Colorado",29722,08,117
"Alamosa County, Colorado",16345,08,003
"Clear Creek County, Colorado",9257,08,019
"Delta County, Colorado",30217,08,029
"Fremont County, Colorado",46601,08,043
"Pueblo County, Colorado",163368,08,101
"Montrose County, Colorado",40908,08,085
"Morgan County, Colorado",28123,08,087
"Park County, Colorado",16900,08,093
"Saguache County, Colorado",6338,08,109
"Mesa County, Colorado",148798,08,077
"Prowers County, Colorado",12084,08,099
"Hinsdale County, Colorado",820,08,053
"El Paso County, Colorado",674826,08,041
"Washington County, Colorado",4809,08,121
"Grand County, Colorado",14793,08,049
"Arapahoe County, Colorado",626612,08,005
"Otero County, Colorado",18325,08,089
"Broomfield County, Colorado",64283,08,014
