period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units,,,
2021,65178,Mtn. Solar 4 (CSG),SUN,Solar,CO,Colorado,PV,159,megawatthours,,Mtn. Solar 4 (CSG),
2021,64355,"NSE Camber BH CSG 2, LLC",SUN,Solar,CO,Colorado,PV,70,megawatthours,,"NSE Camber BH CSG 2, LLC",Crowley
2021,64831,Oak Leaf Solar XVIII LLC,SUN,Solar,CO,Colorado,PV,0,megawatthours,,Oak Leaf Solar XVIII LLC,Denver
2021,62243,Oak Leaf Solar XXI (CSG),SUN,Solar,CO,Colorado,PV,3496,megawatthours,,Oak Leaf Solar XXI (CSG),Arapahoe
2021,62252,Oak Leaf Solar XXII LLC (CSG),SUN,Solar,CO,Colorado,PV,3568,megawatthours,,Oak Leaf Solar XXII LLC (CSG),Denver
2021,62256,Oak Leaf Solar XXIII LLC (CSG),SUN,Solar,CO,Colorado,PV,3736,megawatthours,,Oak Leaf Solar XXIII LLC (CSG),
2021,62253,Oak Leaf Solar XXIV LLC (CSG),SUN,Solar,CO,Colorado,PV,3651,megawatthours,,Oak Leaf Solar XXIV LLC (CSG),Arapahoe
2021,62245,Oak Leaf Solar XXV LLC (CSG),SUN,Solar,CO,Colorado,PV,3660,megawatthours,,Oak Leaf Solar XXV LLC (CSG),Arapahoe
2021,62254,Oak Leaf Solar XXVI LLC,SUN,Solar,CO,Colorado,PV,3614,megawatthours,,Oak Leaf Solar XXVI LLC,Denver
2021,62224,Oak Leaf Solar XXVII LLC,SUN,Solar,CO,Colorado,PV,3516,megawatthours,,Oak Leaf Solar XXVII LLC,Weld
2021,62255,Oak Leaf Solar XXVIII LLC (CSG),SUN,Solar,CO,Colorado,PV,3508,megawatthours,,Oak Leaf Solar XXVIII LLC (CSG),Weld
2021,62239,Oak Leaf Solar XXX LLC (CSG),SUN,Solar,CO,Colorado,PV,4194,megawatthours,,Oak Leaf Solar XXX LLC (CSG),Alamosa
2021,62244,Oak Leaf Solar XXXI LLC (CSG),SUN,Solar,CO,Colorado,PV,3711,megawatthours,,Oak Leaf Solar XXXI LLC (CSG),Mesa
2021,62251,Oak Leaf Solar XXXII (CSG),SUN,Solar,CO,Colorado,PV,3568,megawatthours,,Oak Leaf Solar XXXII (CSG),
2021,63681,Oak Leaf Solar XXXIII LLC (Lantz),SUN,Solar,CO,Colorado,PV,3959,megawatthours,,Oak Leaf Solar XXXIII LLC (Lantz),Chaffee
2022,62495,Palmer Solar,SUN,Solar,CO,Colorado,PV,151874,megawatthours,,Palmer Solar,El Paso
2018,61439,Panasonic Carport Solar,SUN,Solar,CO,Colorado,PV,2230,megawatthours,,Panasonic Carport Solar Hybrid,Denver
2018,59848,Pikes Peak Solar Garden 1 LLC,SUN,Solar,CO,Colorado,PV,3960,megawatthours,,Pikes Peak Solar Garden 1 LLC CSG,El Paso
2022,61991,"Pioneer Solar (CO), LLC",SUN,Solar,CO,Colorado,PV,204349,megawatthours,,"Pioneer Solar (CO), LLC",Adams
2021,65084,Pitkin County Solar,SUN,Solar,CO,Colorado,PV,994.95,megawatthours,,Pitkin County Solar,Pitkin
2021,63753,"Platteville Solar CSG, LLC",SUN,Solar,CO,Colorado,PV,2933,megawatthours,,"Platteville Solar CSG, LLC",Weld
2021,61752,Quincy II Solar Garden,SUN,Solar,CO,Colorado,PV,3170,megawatthours,,Quincy II Solar Garden,Arapahoe
2021,62664,Quincy Solar,SUN,Solar,CO,Colorado,PV,3545,megawatthours,,Quincy Solar,Arapahoe
2021,63722,Rawhide Prairie Solar Hybrid,SUN,Solar,CO,Colorado,PV,36007,megawatthours,,Rawhide Prairie Solar Hybrid,Larimer
2021,63092,Riverview Solar,SUN,Solar,CO,Colorado,PV,3465,megawatthours,,Riverview Solar,Logan
2021,64265,Rock Creek 2 CSG,SUN,Solar,CO,Colorado,PV,3967,megawatthours,,Rock Creek 2 CSG,Alamosa
2021,57507,RV CSU Power II LLC,SUN,Solar,CO,Colorado,PV,3832,megawatthours,,RV CSU Power II LLC,
2021,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,3013,megawatthours,,RV CSU Power LLC,Larimer
2022,60304,"San Isabel Solar, LLC",SUN,Solar,CO,Colorado,PV,75626,megawatthours,,"San Isabel Solar, LLC",Las Animas
2021,61472,San Luis Solar Garden,SUN,Solar,CO,Colorado,PV,3313,megawatthours,,San Luis Solar Garden,Conejos
2021,61605,San Luis Valley Solar Array,SUN,Solar,CO,Colorado,PV,6642,megawatthours,,San Luis Valley Solar Array,Saguache
2022,57317,San Luis Valley Solar Ranch,SUN,Solar,CO,Colorado,ALL,64500,megawatthours,,San Luis Valley Solar Ranch,Alamosa
2021,60248,Skylark,SUN,Solar,CO,Colorado,PV,9280,megawatthours,,Skylark,Weld
2021,60023,SR Jenkins Ft Lupton,SUN,Solar,CO,Colorado,PV,32388,megawatthours,,SR Jenkins Ft Lupton,Weld
2021,61314,SR Kersey,SUN,Solar,CO,Colorado,PV,7982,megawatthours,,SR Kersey,Weld
2021,63586,SR Kersey II,SUN,Solar,CO,Colorado,PV,2033,megawatthours,,SR Kersey II,Weld
